date,prec_AGCD,prec_SILO,PET_morton,sf_mmd
1970-05-28,0.487448,0.499699,3.375048,1.067704
1970-05-29,0.950644,0.842392,2.824191,1.021572
1970-05-30,0.623687,0.511371,1.905714,0.993781
1970-05-31,1.278927,0.685336,2.658286,1.011011
1970-06-01,2.165765,1.499902,2.787619,1.021016
1970-06-02,0.344511,0.302045,3.519048,0.993781
1970-06-03,0.0,0.0,2.74781,0.976551
1970-06-04,0.021652,0.0,1.643429,0.932643
1970-06-05,0.059193,0.0,2.781333,0.873172
1970-06-06,0.022757,0.0,3.350095,0.821482
1970-06-07,0.033424,0.0,2.514667,0.820926
1970-06-08,0.253562,0.193498,2.383048,0.820926
1970-06-09,0.621955,0.391967,1.974857,0.820926
1970-06-10,0.676795,0.301277,1.513905,0.820926
1970-06-11,0.467003,0.21689,1.890286,0.820926
1970-06-12,1.586369,0.74488,2.173524,0.820926
1970-06-13,1.853196,1.123393,3.006667,0.853162
1970-06-14,0.005236,0.0,3.292571,0.87206
1970-06-15,0.087372,0.04832,2.382286,0.805919
1970-06-16,0.000893,0.0,1.909524,0.780352
1970-06-17,0.0,0.0,0.877714,0.780352
1970-06-18,0.391966,0.189308,2.704762,0.764789
1970-06-19,1.255952,1.018266,2.401714,0.725327
1970-06-20,10.181722,6.983621,2.292,0.731441
1970-06-21,1.750346,1.415952,2.513905,0.795359
1970-06-22,4.64646,5.976856,3.110476,0.82037
1970-06-23,0.619875,0.626468,3.088381,0.774238
1970-06-24,0.038341,0.016737,2.46,0.701983
1970-06-25,0.940649,0.484155,3.280571,0.686421
1970-06-26,0.016228,0.001712,1.743238,0.663633
1970-06-27,0.0,0.0,3.579619,0.663077
1970-06-28,0.0,0.0,3.703048,0.648626
1970-06-29,0.0,0.0,3.370095,0.626394
1970-06-30,0.0,0.0,3.281524,0.625838
1970-07-01,0.0,0.0,3.208571,0.611943
1970-07-02,0.0,0.0,3.773905,0.58971
1970-07-03,0.0,0.0,2.929905,0.58971
1970-07-04,0.000727,0.0,3.076381,0.58971
1970-07-05,0.002426,0.0,2.590095,0.58971
1970-07-06,0.556702,0.466078,1.945714,0.58971
1970-07-07,11.119879,5.703136,2.450286,0.58971
1970-07-08,3.762688,1.787576,2.207619,0.711432
1970-07-09,1.376129,1.321692,3.245905,0.650293
1970-07-10,0.220067,0.153473,2.897905,0.611943
1970-07-11,0.090184,0.060904,3.487048,0.576371
1970-07-12,0.0,0.0,0.746476,0.568034
1970-07-13,0.149676,0.143367,0.596952,0.56192
1970-07-14,0.175725,0.130978,1.27581,0.520235
1970-07-15,0.217906,0.258624,2.270286,0.506895
1970-07-16,0.532673,0.453099,1.783238,0.48633
1970-07-17,0.082388,0.031957,2.043048,0.48633
1970-07-18,0.261083,0.407522,2.427048,0.48633
1970-07-19,0.000234,0.0,2.331619,0.48633
1970-07-20,0.0,0.0,0.1,0.48633
1970-07-21,0.0,0.0,0.426857,0.474103
1970-07-22,0.0,0.0,2.775048,0.454094
1970-07-23,0.0,0.0,3.823429,0.454094
1970-07-24,0.0,0.0,3.396762,0.454094
1970-07-25,0.0,0.0,3.389143,0.454094
1970-07-26,0.0,0.0,3.795048,0.454094
1970-07-27,0.0,0.0,3.674095,0.454094
1970-07-28,0.0,0.0,3.610095,0.441866
1970-07-29,0.402387,0.312371,2.280952,0.422413
1970-07-30,7.911695,5.662402,2.308,0.43464
1970-07-31,5.544561,3.709656,2.789143,0.517456
1970-08-01,1.053147,0.943726,3.476571,0.610275
1970-08-02,0.001853,0.001712,3.886476,0.549692
1970-08-03,0.32484,0.351784,4.093714,0.474658
1970-08-04,0.133968,0.214424,3.980381,0.441866
1970-08-05,0.000318,0.003614,3.997333,0.410741
1970-08-06,0.0001,0.0,2.803619,0.391843
1970-08-07,3.014356,3.822253,0.527238,0.391843
1970-08-08,48.635884,32.869112,1.170857,0.593045
1970-08-09,29.691096,21.888939,2.796572,2.305484
1970-08-10,20.166224,26.399158,3.758095,1.346163
1970-08-11,0.0,0.0,4.331048,0.711432
1970-08-12,0.0,0.0,4.468952,0.564143
1970-08-13,0.0,0.0,2.070286,0.507451
1970-08-14,0.0,0.0,3.560952,0.474103
1970-08-15,0.0,0.0,3.301714,0.454094
1970-08-16,0.000102,0.0,3.828762,0.441866
1970-08-17,0.0,0.0,4.244,0.422413
1970-08-18,0.0,0.0,3.213714,0.422413
1970-08-19,0.0,0.0,3.872,0.410741
1970-08-20,0.0,0.0,4.362095,0.391843
1970-08-21,0.0,0.0,3.756762,0.391843
1970-08-22,0.0,0.0,4.39181,0.380727
1970-08-23,0.0,0.0,3.673333,0.362386
1970-08-24,0.0,0.0,4.405333,0.362386
1970-08-25,0.0,0.0,4.780381,0.35127
1970-08-26,0.0,0.0,5.049524,0.33404
1970-08-27,0.0,0.0,4.021905,0.323479
1970-08-28,0.0,0.0,4.394286,0.306249
1970-08-29,0.0,0.0,5.080952,0.306249
1970-08-30,0.0,0.0,4.413333,0.306249
1970-08-31,0.0,0.0,1.30781,0.306249
1970-09-01,0.0,0.0,1.584762,0.306249
1970-09-02,0.0,0.0,2.580191,0.306249
1970-09-03,0.002885,0.0,3.463429,0.306249
1970-09-04,4.149001,2.755207,3.758667,0.31681
1970-09-05,0.931319,1.030248,5.072381,0.33404
1970-09-06,0.0,0.0,4.729714,0.33404
1970-09-07,0.0,0.0,5.081333,0.323479
1970-09-08,0.0,0.0,4.869714,0.306249
1970-09-09,0.0,0.0,4.584,0.306249
1970-09-10,0.0,0.0,4.369905,0.306249
1970-09-11,0.0,0.0,2.492191,0.296245
1970-09-12,0.565428,0.289277,3.391048,0.270122
1970-09-13,0.0,0.0,4.906667,0.264564
1970-09-14,0.0,0.0,4.771048,0.270122
1970-09-15,0.0,0.0,4.084,0.254559
1970-09-16,1.04239,1.686275,3.351619,0.254559
1970-09-17,0.505087,0.567531,1.386857,0.254559
1970-09-18,1.537048,1.321676,4.114476,0.254559
1970-09-19,0.00955,0.0,5.233333,0.264008
1970-09-20,1.587355,1.515751,4.713905,0.279571
1970-09-21,4.220638,3.634395,3.859429,0.290131
1970-09-22,0.084883,0.131144,5.319238,0.306249
1970-09-23,0.0,0.0,4.464572,0.306249
1970-09-24,0.480113,0.697825,5.724762,0.306249
1970-09-25,0.0,0.0,4.444762,0.296245
1970-09-26,0.0,0.0,4.855619,0.270122
1970-09-27,0.0,0.0,2.738286,0.254559
1970-09-28,0.0,0.0,3.998667,0.254559
1970-09-29,0.31152,0.096563,5.241714,0.264008
1970-09-30,0.0,0.0,3.466286,0.279571
1970-10-01,0.0,0.0,5.016191,0.260673
1970-10-02,0.0,0.0,5.124952,0.23066
1970-10-03,0.0,0.0,4.546857,0.230104
1970-10-04,0.025365,0.005326,4.038667,0.230104
1970-10-05,17.862007,19.250452,4.423238,0.23455
1970-10-06,3.175742,3.32323,5.640953,0.719769
1970-10-07,5.537571,5.677479,4.730286,0.475214
1970-10-08,2.713276,2.795964,4.652572,0.346267
1970-10-09,1.990978,2.334958,4.840381,0.340153
1970-10-10,0.572375,0.481438,4.674667,0.306805
1970-10-11,3.232154,3.176867,1.716381,0.296245
1970-10-12,10.443828,12.739532,3.677714,0.321812
1970-10-13,9.710102,11.518818,3.285333,0.464098
1970-10-14,0.818549,0.805497,5.712952,0.709765
1970-10-15,0.240153,0.198837,5.935619,0.578038
